docs_i,topics_i,metric_id,time_ms
1000,300,wjl_ii,32
1000,300,jl,167
1000,300,wjl_pw,402
1000,300,jsd,19982
1000,300,he,2431
1000,300,wjl_ii,31
1000,300,jl,156
1000,300,wjl_pw,398
1000,300,jsd,18603
1000,300,he,2348
1000,300,wjl_ii,34
1000,300,jl,159
1000,300,wjl_pw,414
1000,300,jsd,19601
1000,300,he,2455
1000,300,wjl_ii,30
