docs_i,topics_i,metric_id,time_ns,time_ms,time_m,time_h
100,50,jsd,163132000,163,0,0
100,50,wjl_ii,65916000,65,0,0
100,50,jsd,156051000,156,0,0
100,50,wjl_ii,90233000,90,0,0
100,50,jsd,145436000,145,0,0
100,50,wjl_ii,95075000,95,0,0
100,50,jsd,159722000,159,0,0
100,50,wjl_ii,96505000,96,0,0
100,50,jsd,145098000,145,0,0
100,50,wjl_ii,97487000,97,0,0
100,50,jsd,165226000,165,0,0
100,50,wjl_ii,95164000,95,0,0
100,50,jsd,152889000,152,0,0
100,50,wjl_ii,104024000,104,0,0
100,50,jsd,143136000,143,0,0
100,50,wjl_ii,106059000,106,0,0
100,50,jsd,61884000,61,0,0
100,50,wjl_ii,9480000,9,0,0
100,50,jsd,93401000,93,0,0
100,50,wjl_ii,12643000,12,0,0
100,50,jsd,107029000,107,0,0
100,50,wjl_ii,20820000,20,0,0
100,50,jsd,104149000,104,0,0
100,50,wjl_ii,22113000,22,0,0
100,50,jsd,131775000,131,0,0
100,50,wjl_ii,22245000,22,0,0
100,50,jsd,116164000,116,0,0
100,50,wjl_ii,27311000,27,0,0
100,50,jsd,165290000,165,0,0
100,50,wjl_ii,20731000,20,0,0
100,50,jsd,166827000,166,0,0
100,50,wjl_ii,18717000,18,0,0
100,50,jsd,203653000,203,0,0
100,50,wjl_ii,14770000,14,0,0
100,50,jsd,87775000,87,0,0
100,50,wjl_ii,36178000,36,0,0
100,50,jsd,114876000,114,0,0
100,50,wjl_ii,23948000,23,0,0
100,50,jsd,115096000,115,0,0
100,50,wjl_ii,5762000,5,0,0
100,50,jsd,54384000,54,0,0
100,50,wjl_ii,15171000,15,0,0
100,50,jsd,124292000,124,0,0
100,50,wjl_ii,5202000,5,0,0
100,50,jsd,106259000,106,0,0
100,50,wjl_ii,23153000,23,0,0
100,50,jsd,116415000,116,0,0
100,50,wjl_ii,57732000,57,0,0
100,50,jsd,52738000,52,0,0
100,50,wjl_ii,4661000,4,0,0
100,50,jsd,88012000,88,0,0
100,50,wjl_ii,4557000,4,0,0
100,50,jsd,87610000,87,0,0
100,50,wjl_ii,8692000,8,0,0
100,50,jsd,83323000,83,0,0
100,50,wjl_ii,8220000,8,0,0
100,50,jsd,84042000,84,0,0
100,50,wjl_ii,4421000,4,0,0
100,50,jsd,120541000,120,0,0
100,50,wjl_ii,9350000,9,0,0
100,50,jsd,72061000,72,0,0
100,50,wjl_ii,5937000,5,0,0
100,50,jsd,109485000,109,0,0
100,50,wjl_ii,7925000,7,0,0
100,50,jsd,80788000,80,0,0
100,50,wjl_ii,15372000,15,0,0
100,50,jsd,88159000,88,0,0
100,50,wjl_ii,4295000,4,0,0
100,50,jsd,145818000,145,0,0
100,50,wjl_ii,4679000,4,0,0
100,50,jsd,113601000,113,0,0
100,50,wjl_ii,4901000,4,0,0
100,50,jsd,117369000,117,0,0
100,50,wjl_ii,6881000,6,0,0
100,50,jsd,159046000,159,0,0
100,50,wjl_ii,3901000,3,0,0
100,50,jsd,116372000,116,0,0
100,50,wjl_ii,7655000,7,0,0
100,50,jsd,125849000,125,0,0
100,50,wjl_ii,15631000,15,0,0
100,50,jsd,90348000,90,0,0
100,50,wjl_ii,4094000,4,0,0
100,50,jsd,52656000,52,0,0
100,50,wjl_ii,4739000,4,0,0
100,50,jsd,92784000,92,0,0
100,50,wjl_ii,3603000,3,0,0
100,50,jsd,98429000,98,0,0
100,50,wjl_ii,3698000,3,0,0
100,50,jsd,70950000,70,0,0
100,50,wjl_ii,4296000,4,0,0
100,50,jsd,110187000,110,0,0
100,50,wjl_ii,4132000,4,0,0
100,50,jsd,72796000,72,0,0
100,50,wjl_ii,4040000,4,0,0
100,50,jsd,65452000,65,0,0
100,50,wjl_ii,9005000,9,0,0
100,50,jsd,65439000,65,0,0
100,50,wjl_ii,12886000,12,0,0
100,50,jsd,73876000,73,0,0
100,50,wjl_ii,3740000,3,0,0
100,50,jsd,87653000,87,0,0
100,50,wjl_ii,3521000,3,0,0
100,50,jsd,68345000,68,0,0
100,50,wjl_ii,6908000,6,0,0
100,50,jsd,60943000,60,0,0
100,50,wjl_ii,9237000,9,0,0
100,50,jsd,86614000,86,0,0
100,50,wjl_ii,11564000,11,0,0
100,50,jsd,103815000,103,0,0
100,50,wjl_ii,4026000,4,0,0
100,50,jsd,95509000,95,0,0
100,50,wjl_ii,4342000,4,0,0
100,50,jsd,108055000,108,0,0
100,50,wjl_ii,4172000,4,0,0
100,50,jsd,98485000,98,0,0
100,50,wjl_ii,3796000,3,0,0
100,50,jsd,123084000,123,0,0
100,50,wjl_ii,8637000,8,0,0
100,50,jsd,89316000,89,0,0
100,50,wjl_ii,3520000,3,0,0
100,50,jsd,64112000,64,0,0
100,50,wjl_ii,3705000,3,0,0
100,50,jsd,71574000,71,0,0
100,50,wjl_ii,24086000,24,0,0
100,50,jsd,85952000,85,0,0
100,50,wjl_ii,19071000,19,0,0
